License Number,License Type,Business Name,DBA Name,Address,Address 2,City,State,Zip Code,Phone,Issued Date,Expiration Date,License Status
01769,Mold Assessment Contractor License (SH125),Dominick Esposito,,507 Corbin Place,,WEST ISLIP,NY,11795,6319216602,08/26/2022,08/31/2024,Expired
01251,Mold Assessment Contractor License (SH125),Dr. Mold Removal LLC,,450 E Edsall Blvd,,PALISADES PARK,NJ,07650,2123666666,09/24/2018,09/30/2024,Expired
00614,Mold Assessment Contractor License (SH125),"Drying Technologies, Inc.",,216 N Fehr Way,,Bayshore,NY,11706,6312315427,04/13/2016,04/30/2024,Expired
01794,Mold Remediation Contractor License (SH126),Dset Assoc LLC,,445 Central Ave Ste 304,,CEDARHURST,NY,11516,,11/13/2019,03/31/2025,Expired
24-63XQ8-SHMO,Mold Assessment Contractor License (SH125),Dulcinium LLC,,3397 E Tremont Ave,,Bronx,NY,10461,7187536322,10/17/2024,10/31/2026,Active
25-64ZIZ-SHMO,Mold Remediation Contractor License (SH126),"Dussan, Inc",AMCS Environmental,205 Brookville Ave,,Islip,NY,11751,6313337755,02/11/2025,02/28/2027,Active
25-6TKME-SHMO,Mold Assessment Contractor License (SH125),Dynamic GC Corp,SERVPRO of South Bronx,191 Willow Ave,,Bronx,NY,10454,3475909902,02/12/2025,04/30/2027,Active
01697,Mold Assessment Contractor License (SH125),E&E Contracting Corporation,,132-18-101 Ave,,SOUTH RICHMOND HILL,NY,11419,3479904077,02/14/2022,02/28/2024,Expired
26-6AKRL-SHMO,Mold Remediation Contractor License (SH126),EA Services Inc,,530 Church St,Suite 6,Ridgefield,NJ,07657,2019168713,05/08/2026,05/31/2028,Active
25-6HDJP-SHMO,Mold Remediation Contractor License (SH126),EC ABATEMENT INC.,,219-81 141st Ave,,Springfield Gardens,NY,11413,7189783800,07/07/2025,07/31/2027,Active
26-6SS1I-SHMO,Mold Assessment Contractor License (SH125),ECN Testing Corp,,266 Shear Hill Rd,,Mahopac,NY,10541,9145571879,01/21/2026,02/29/2028,Active
26-6Z6RR-SHMO,Mold Assessment Contractor License (SH125),"EFI Global, Inc.",,701 Penhorn Ave,Suite 4,Secaucus,NJ,07044,7326297930,05/05/2026,04/30/2028,Active
26-6ZGI4-SHMO,Mold Remediation Contractor License (SH126),EKA CONTRACTING LLC,,2038 169TH STREET,,WHITESTONE,NY,11357,3472007478,04/08/2026,04/30/2028,Active
00777,Mold Assessment Contractor License (SH125),"EN-TECH ASSOCIATES, INC.",,1111 W High Terrace,,Syracuse,NY,13219,3154691926,06/16/2016,06/30/2024,Expired
26-6zuvt-shmo,Mold Remediation Contractor License (SH126),"ENP Environmental, Inc.",,3280 Sunrise Hwy Ste 72,,Wantagh,NY,11793,5163942400,03/11/2026,03/31/2028,Active
26-6LSAU-SHMO,Mold Remediation Contractor License (SH126),"ESG, Inc.",,11-01 154th Street,,Whitestone,NY,11357,7187280369,01/21/2026,12/31/2027,Active
26-6I5BT-SHMO,Mold Remediation Contractor License (SH126),EST TRISH LLC     dba  Stanley Steemer of Syracuse,Stanley Steemer of Syracuse,6710 Commerce Blvd,,Syracuse,NY,13211,3158771250,03/16/2026,03/31/2028,Active
25-65SDX-SHMO,Mold Assessment Contractor License (SH125),EZ Mart Incorporated,EZ Green Solutions,2487 Gladmore Street,,East Meadow,NY,11554,9175616257,05/20/2025,05/31/2027,Active
24-64EF1-SHMO,Mold Assessment Contractor License (SH125),Earthwatch Environmental Consulting Inc,,145-48A 105th Ave,,JAMAICA,NY,11435,5169397681,12/30/2024,01/31/2027,Active
25-64Q4J-SHMO,Mold Remediation Contractor License (SH126),East End Environmental Corp,,143 Rumford Road,,Kings Park,NY,11754,6316507727,01/15/2025,01/31/2027,Active
23-6LLTJ-SHMO,Mold Assessment Contractor License (SH125),Eastern Home Inspections LLC,,93 Harbor Watch Court,,Sag Harbor,NY,11963,6313380500,11/15/2023,11/30/2025,Expired
00197,Mold Remediation Contractor License (SH126),"Ebenezer, Inc.",ServiceMaster by Meenan and Watertown,PO Box 224,,CANTON,NY,13617,3153868144,01/14/2016,01/31/2024,Expired
25-6UOIY-SHMO,Mold Assessment Contractor License (SH125),EcoPro Environmental Inc.,,51-19rd Street,,Woodside,NY,11377,7188803679,09/17/2025,09/30/2027,Active
25-6HPOC-SHMO,Mold Assessment Contractor License (SH125),Edward a Bruning,Signature Fusion,175 Bellerose Avenue,,East Northport,NY,11731,6316266097,08/14/2025,08/31/2027,Active
24-6AOBK-SHMO,Mold Assessment Contractor License (SH125),Elezi LLC,,40 Wyckoff Street,Apt 1,Brooklyn,NY,11201,3473457860,06/17/2024,06/30/2026,Expired
25-6TKGU-SHMO,Mold Remediation Contractor License (SH126),"Elite Restoration and Construction Inc,",,5008 Veterans Memorial Hwy,,Holbrook,NY,11741,6313103561,02/10/2025,02/28/2027,Active
24-6I1TV-SHMO,Mold Remediation Contractor License (SH126),"Emergency Enclosures, Inc.",,1464 Lake Avenue,,Rochester,NY,14615,5852624600,01/02/2024,01/31/2026,Expired
26-63GAU-SHMO,Mold Remediation Contractor License (SH126),Emiljano Construction INC,,2311 White Plains Road,apt 7,Bronx,NY,10467,3477916979,08/28/2026,09/30/2028,Active
24-64BVF-SHMO,Mold Assessment Contractor License (SH125),Blue Skies Home Inspections LLC,,93 East Sandford St,,YONKERS,NY,10704,6467610511,12/16/2024,02/28/2027,Active
26-6ZIKT-SHMO,Mold Remediation Contractor License (SH126),"BlueLine Disaster Solutions, Inc.",,1 Ora Avenue,,New Hartford,NY,13413,3155072140,04/20/2026,04/30/2028,Active
26-6IA5T-SHMO,Mold Assessment Contractor License (SH125),Bohlander Home Inspection Inc.,,15 Cedar Road,,Katonah,NY,10536,9149075180,01/14/2026,01/31/2028,Active
25-6UXMK-SHMO,Mold Remediation Contractor License (SH126),"Boomzeal Enterprises, Inc",United Water Restoration of LI Central,74 Bridge Rd.,,Islandia,NY,11749,6314944764,06/11/2025,06/30/2027,Active
25-64IL3-SHMO,Mold Remediation Contractor License (SH126),BreathePure LLC,,1304 Midland Avenue Apt. C70,,Yonkers,NY,10704,8456741719,02/05/2025,02/28/2027,Active
23-6UJFS-SHMO,Mold Remediation Contractor License (SH126),Bridgetower Restoration Inc.,,358 Broadway Suite 4,,Newark,NJ,07104,9733038117,07/31/2023,07/31/2025,Expired
00686,Mold Assessment Contractor License (SH125),"Brinkerhoff Environmental Services, Inc.",,1805 Atlantic Ave,,Manasquan,NJ,08736,7322232225,05/13/2016,05/31/2024,Expired
23-6TMY7-SHMO,Mold Assessment Contractor License (SH125),Brody Wood,B. Wood Home Inspections,510 Salt Rd,,Webster,NY,14580,6072214696,05/01/2023,05/31/2025,Expired
26-6ZP3U-SHMO,Mold Remediation Contractor License (SH126),Brooklyn9 Holdings LLC,RestoPros of Bergen & Passaic,111 Seminary Drive,,Mahwah,NJ,07430,2014307035,01/20/2026,03/31/2028,Active
01482,Mold Remediation Contractor License (SH126),Building Environment Service Technicians,,6968 State Highway 29,,DOLGEVILLE,NY,13329,,02/05/2020,03/31/2024,Expired
24-6ARAC-SHMO,Mold Remediation Contractor License (SH126),Bulldog Contracting Inc.,,8 Oak Ridge Ct,,Nesconset,NY,11767,6313616310,05/15/2024,05/31/2026,Expired
25-65PYX-SHMO,Mold Assessment Contractor License (SH125),Burgasser Consulting LLC,,10 Island Lane,,Canandaigua,NY,14424,5857395068,04/16/2025,04/30/2027,Active
25-6LENO-SHMO,Mold Assessment Contractor License (SH125),"C & S Engineers, Inc.",,499 Col. Eileen Collins Blvd.,,Syracuse,NY,13212,3154552000,10/27/2025,10/31/2027,Active
26-6SYDP-SHMO,Mold Remediation Contractor License (SH126),"C&C Unlimited, Inc.",,6 Simmons Lane,,Albany,NY,12204,5187295641,02/06/2026,02/29/2028,Active
26-6Z16V-SHMO,Mold Remediation Contractor License (SH126),C.K.&B. Environmental Incorporated,,1728 Putnam Ave,,Ridgewood,NY,11385,7183888070,02/17/2026,02/29/2028,Active
24-6ZFND-SHMO,Mold Remediation Contractor License (SH126),CB Consultant Group LLC,,232 Buffalo Ave,,Medford,NY,11763,6317909029,02/28/2024,02/28/2026,Expired
25-6HHK3-SHMO,Mold Remediation Contractor License (SH126),CG Spotless Cleaning LLC,,153 E 40th Street,,Brooklyn,NY,11203,3474699228,10/08/2025,10/31/2027,Active
25-67K6A-SHMO,Mold Remediation Contractor License (SH126),"CKG Associates, LLC",,232 Amity Road,,Woodbridge,CT,06525,2033010500,11/21/2025,11/30/2027,Active
25-6UD3J-SHMO,Mold Remediation Contractor License (SH126),CORWOOD SOLUTIONS LLC,,321 Single Drive,,N. Syracuse,NY,13212,3154472882,05/20/2025,05/31/2027,Active
26-6ZPJG-SHMO,Mold Assessment Contractor License (SH125),"CRAL Contracting, Inc.",,202 Twin Oaks Drive,STE 110,Syracuse,NY,13206,3156716006,01/21/2026,03/31/2028,Active
24-6AIFB-SHMO,Mold Remediation Contractor License (SH126),CSL Construction LLC,,7710 5th Ave,,North Bergen,NJ,07047,9739310068,07/03/2024,07/31/2026,Expired
24-6A4QX-SHMO,Mold Assessment Contractor License (SH125),CVE Enterprises LLC,Greenworks Environmental,"41 Watchung Plaza, Ste #253",,Montclair,NJ,07042,2123006283,07/25/2024,05/31/2026,Expired
26-69N5T-SHMO,Mold Assessment Contractor License (SH125),Caleb,CornerStone Property Inspections,85 S Judson St,,Gloversville,NY,12078,5189210857,06/03/2026,06/30/2028,Active
25-6IECS-SHMO,Mold Assessment Contractor License (SH125),"CanAm Environmental Safety, Inc.",,"42 Main St, Suite #1",,SCOTTSVILLE,NY,14546,5852613205,12/15/2025,12/31/2027,Active
25-6LATQ-SHMO,Mold Remediation Contractor License (SH126),Capital Restoration Services LLC,,31 Corliss Ave,,RENSSELAER,NY,12144,5183319201,11/28/2025,10/31/2027,Active
26-6LCA6-SHMO,Mold Remediation Contractor License (SH126),Cappa Inc,,4042 Secor Avenue,,Bronx,NY,10466,9175476778,08/25/2026,11/30/2027,Active
25-64ZA9-SHMO,Mold Assessment Contractor License (SH125),Casino Home Inspections LLC,,18 Hilltop Place,,Albertson,NY,11507,7186792750,02/11/2025,02/28/2027,Active
26-69JRP-SHMO,Mold Remediation Contractor License (SH126),Category 3 LLC,,51 Joan Ave,,Centereach,NY,11720,6315125238,06/23/2026,06/30/2028,Active
25-646XL-SHMO,Mold Remediation Contractor License (SH126),CertaClean Restoration LLC,,400 Glen Cove Ave,,Sea Cliff,NY,11579,5165079211,03/04/2025,03/31/2027,Active
26-6Z7PE-SHMO,Mold Remediation Contractor License (SH126),Certified Management & Maintenance Corp,,5318 Avenue N,,Brooklyn,NY,11234,7188591800,03/10/2026,03/31/2028,Active
23-6TJ7U-SHMO,Mold Remediation Contractor License (SH126),Certified Mold Services Inc,,15 Stillo Dr,,MONSEY,NY,10952,7187498464,04/25/2023,04/25/2025,Expired
26-6UP9I-SHMO,Mold Remediation Contractor License (SH126),Chards Division IT LLC,,300 Cadman Plaza West,12th Floor,Brooklyn,NY,11201,3476255777,05/18/2026,05/31/2028,Active
00253,Mold Remediation Contractor License (SH126),"Choice Commercial Cleaning, Inc",AMH Restoration,"60 N Harrison Ave, Suite 27",,CONGERS,NY,10920,8452685660,01/19/2016,01/31/2024,Expired
26-668G1-SHMO,Mold Assessment Contractor License (SH125),Chrishanna Home & Life Safety Inspections LLC,,934 Main Street,,Farmingdale,NY,11735,7187533222,03/04/2026,03/31/2028,Active
26-6AZKH-SHMO,Mold Remediation Contractor License (SH126),"Citywide Environmental Services, LLC",,151-17 6th Road,,Whitestone,NY,11357,7182372849,07/07/2026,07/31/2028,Active
24-6AZSH-SHMO,Mold Assessment Contractor License (SH125),Clawback Inc.,,444e Heritage Hills,,SOMERS,NY,10589,9146736920,07/15/2024,08/31/2026,Expired
25-6UXPF-SHMO,Mold Remediation Contractor License (SH126),Clean Air Solutions Group Corp.,,387 Saint James Street,,Holbrook,NY,11741,5164246186,04/18/2025,05/31/2027,Active
23-6L8P7-SHMO,Mold Remediation Contractor License (SH126),Clean Remediation Corp.,,208 Mount Vernon Ave,,Medford,NY,11763,6315530803,10/25/2023,10/31/2025,Expired
26-6ACF3-SHMO,Mold Remediation Contractor License (SH126),CleanNYC Lead and Mold Solutions LLC,,841 Knickerbocker Ave,,Brooklyn,NY,11207,2123816001,07/15/2026,07/31/2028,Active
26-66LRX-SHMO,Mold Remediation Contractor License (SH126),Clear The Air Remediation Inc.,,6 Kings Court,,Orchard Park,NY,14127,7165234165,04/14/2026,04/30/2028,Active
24-6AUPT-SHMO,Mold Assessment Contractor License (SH125),Coast 2 Coast Restoration LLC,Restoration 1,20 Pinehurst Dr,,BELLPORT,NY,11713,6319045000,06/27/2024,06/30/2026,Expired
26-69Y3A-SHMO,Mold Remediation Contractor License (SH126),Coastal Renewal Corp.,PuroClean of Whitestone,8217 153rd Avenue,STE 204,Howard Beach,NJ,11414,5519987982,05/28/2026,05/31/2028,Active
26-67I5F-SHMO,Mold Remediation Contractor License (SH126),Cobra Property Management,Cobra Property Management,201 N. State St,,Syracuse,NY,13204,3477771185,01/02/2026,01/31/2028,Active
25-6HN4G-SHMO,Mold Assessment Contractor License (SH125),"Columbia-Greene Home Inspections, LLC",,1326 US Route 9,,Hudson,NY,12534,5185984861,07/03/2025,07/31/2027,Active
01283,Mold Remediation Contractor License (SH126),Complete Restoration Corp,,37 Northern Blvd,,STATEN ISLAND,NY,10301,9175675140,11/29/2018,11/30/2024,Expired
24-63UDT-SHMO,Mold Assessment Contractor License (SH125),"Concord Group, LLC",,43793 Sweet Cherry Lane,,CANTON,MI,48188,2489748495,11/04/2024,11/30/2026,Active
26-6ZXGJ-SHMO,Mold Assessment Contractor License (SH125),Consulting and Testing Services Inc.,,237 West 35th Street,Suite 1004,New York,NY,10001,2129717016,02/25/2026,02/29/2028,Active
25-6UYA6-SHMO,Mold Remediation Contractor License (SH126),Cordent LLC,Cordent Organic,101 Standish Drive,,North Syracuse,NY,13212,3156574889,08/21/2025,08/31/2027,Active
26-667KP-SHMO,Mold Assessment Contractor License (SH125),Cornerstone Testing Solutions LLC.,,82-11 37th Ave.,Suite LL19,Jackson Heights,NY,11372,9295009310,05/15/2026,05/31/2028,Active
26-6641Z-SHMO,Mold Assessment Contractor License (SH125),Craftsman Home Remodeling,,695 Elmgrove Road,,Rochester,NY,14606,5857492688,05/06/2026,05/31/2028,Active
24-6ZEVZ-SHMO,Mold Assessment Contractor License (SH125),Crisp Quality Construction Inc,,34 East Main Street,,Smithtown,NY,11787,6312922129,03/06/2024,03/31/2025,Expired
24-6AXN1-SHMO,Mold Assessment Contractor License (SH125),Cross Island Field Services Inc,,1389 Hempstead Tpke,,Elmont,NY,11003,5163120958,06/14/2024,05/31/2026,Expired
25-64SBS-SHMO,Mold Remediation Contractor License (SH126),Crown Mold Specialists LLC,,1830 east 14th street,,Brooklyn,NY,11229,7185781651,02/06/2025,02/28/2027,Active
25-6ud3d-shmo,Mold Remediation Contractor License (SH126),"Curatola Contracting, Inc.",Rainbow International of Staten Island,220 Industrial Loop,,STATEN ISLAND,NY,10309,7183517065,07/29/2025,07/31/2027,Active
26-6S6RZ-SHMO,Mold Remediation Contractor License (SH126),Custom Care Inc,,217 Knickerbocker Ave,,Bohemia,NY,11716,6316541225,04/15/2026,04/30/2028,Active
26-6ZIOR-SHMO,Mold Remediation Contractor License (SH126),D&O Restoration Services Inc,,808 Taylor Ave,,East Patchogue,NY,11772,6314047286,03/24/2026,03/31/2028,Active
00319,Mold Assessment Contractor License (SH125),D.R. Environmental LLC,,26 Bridle Lane,,CHESTER,NY,10918,8455903261,02/03/2016,03/31/2024,Expired
26-63G3I-SHMO,Mold Remediation Contractor License (SH126),"DASO Green Technologies, Inc.",,4204 215th Place,1st Floor,Bayside,NY,11361,9294723899,08/12/2026,08/31/2028,Active
26-675S7-SHMO,Mold Remediation Contractor License (SH126),DEEMOLD INC,,7 Hybrid Rd,,Monsey,NY,10952,8458289307,01/22/2026,01/31/2028,Active
26-66KP6-SHMO,Mold Assessment Contractor License (SH125),DLG Home Insights LLC,Home Team of Southern Westchester,8 Roosevelt Dr,,Bedford Hills,NY,10507,9147023548,03/13/2026,03/31/2028,Active
26-6scb7-shmo,Mold Assessment Contractor License (SH125),DMGJ CORP,,2 Trebor rd,,Massapequa,NY,11758,3476712654,03/25/2026,03/31/2028,Active
25-6UTMY-SHMO,Mold Remediation Contractor License (SH126),DTG Newark LLC,DTG EcoSafe,1704 Flatbush Ave,,Brooklyn,NY,11210,8004228051,09/04/2025,09/30/2027,Active
24-63XKQ-SHMO,Mold Assessment Contractor License (SH125),Dad and Daughters Home Inspection LLC,,156 Bedell Ave,,Staten Island,NY,10307,9175593864,10/16/2024,10/31/2026,Active
26-66PO9-SHMO,Mold Assessment Contractor License (SH125),"Dan W's Inspections, INC.",HomeTeam Inspection Service of Central Long Island,487 Joan St,,Ronkonkoma,NY,11779,6319448555,03/25/2026,03/31/2028,Active
00202,Mold Remediation Contractor License (SH126),David's Designs LLC,Big Apple Mold Services,1953 East 27th St,,BROOKLYN,NY,11229,7182132789,01/08/2016,04/30/2024,Expired
26-6ZH73-SHMO,Mold Remediation Contractor License (SH126),"Deep Clean Restoration, LLC",SERVPRO of North Rensselaer/South Washinton Couties,"1043 HW 22 Cambridge, NY 12816",,Cambridge,NY,12816,5186773444,03/12/2026,03/31/2028,Active
26-69JYP-SHMO,Mold Remediation Contractor License (SH126),"Delete 86 Environmental, LLC",,111 Cheney Street,,Jamestown,NY,14701,7164502811,06/23/2026,06/30/2028,Active
24-63GZI-SHMO,Mold Assessment Contractor License (SH125),Deluca Maintenance Company LLC,,20 Raynor Ave,,MOUNT VERNON,NY,10552,8454954321,09/13/2024,09/30/2026,Active
23-6UEUB-SHMO,Mold Assessment Contractor License (SH125),Desired Home Inspections LLC,,"315 Flatbush Ave, 344",,BROOKLYN,NY,11217,9173749956,07/27/2023,01/31/2025,Expired
24-6SU3R-SHMO,Mold Assessment Contractor License (SH125),"Dickinson Environmental Consulting, LLC",,Po box 25,,ROMULUS,NY,14541,8004912008,02/13/2024,02/28/2026,Expired
24-64EFP-SHMO,Mold Assessment Contractor License (SH125),Dino 626 Inc.,,"35 Barker Avenue, Apt 4E",,White Plains,NY,10601,9146233400,12/30/2024,11/30/2026,Active
23-6U6ZI-SHMO,Mold Remediation Contractor License (SH126),Disaster Pro Inc.,Tristate Restoration,157 Babylon Turnpike,,Roosevelt,NY,11575,5169332783,10/16/2023,10/31/2025,Expired
23-6TQYJ-SHMO,Mold Assessment Contractor License (SH125),"Distinct Engineering Solutions, Inc.",,425 Old Georges Rd,,North Brunswick,NJ,08902,,05/22/2023,05/31/2025,Expired
25-6UJFH-SHMO,Mold Remediation Contractor License (SH126),Douglass Construction Corp,,160 6th Street,,Hicksville,NY,11801,9175942637,05/29/2025,05/31/2027,Active
01778,Mold Remediation Contractor License (SH126),Dr. Mold Removal LLC,,450 E Edsall Blvd,,PALISADES PARK,NJ,07650,2123666666,09/24/2018,09/30/2024,Expired
24-63U44-SHMO,Mold Remediation Contractor License (SH126),"Drying Technologies, Inc.",,216 N Fehr Way,,Bayshore,NY,11706,6312315427,11/06/2024,11/30/2026,Active
25-64K5E-SHMO,Mold Assessment Contractor License (SH125),Dset Assoc LLC,,445 Central Ave Ste 304,,CEDARHURST,NY,11516,,01/06/2025,03/31/2027,Active
24-63XQG-SHMO,Mold Remediation Contractor License (SH126),Dulcinium LLC,,3397 E Tremont Ave,,Bronx,NY,10461,7187536322,10/17/2024,10/31/2026,Active
01511,Mold Assessment Contractor License (SH125),Dustin C Van Alphen,Capital Region Home Inspection,159 Le Loup Road,,MELROSE,NY,12121,5187510386,05/04/2020,05/31/2024,Expired
25-6SDOX-SHMO,Mold Remediation Contractor License (SH126),Dynamics Development Services Inc,,"557 Grand Concourse, Ste 3-51",,BRONX,NY,10451,7189061055,12/05/2025,12/31/2027,Active
26-6Z6GC-SHMO,Mold Remediation Contractor License (SH126),"E-Z Flow Gutters, LLC",E-Z Flow Innovations,1059 Main Street,,Fishkill,NY,12524,8455544785,04/14/2026,04/30/2028,Active
01528,Mold Assessment Contractor License (SH125),EA Services Inc,,530 Church St,Suite 6,Ridgefield,NJ,07657,2019168713,08/05/2020,08/31/2024,Expired
01725,Mold Remediation Contractor License (SH126),EC Abatement Inc.,,219-48 141 Ave.,,Springfield Gardens,NY,11413,7189783800,03/29/2022,03/31/2024,Expired
25-6HP5G-SHMO,Mold Assessment Contractor License (SH125),ECOSCAN ASSESSORS INC.,,2607 AVENUE O,5E,BROOKLYN,NY,11210,3478734365,08/15/2025,08/31/2027,Active
25-6UJAA-SHMO,Mold Assessment Contractor License (SH125),EGR Environmental Inc.,,1971 Lenox Ave,,East Meadow,NY,11554,9176279374,06/11/2025,06/30/2027,Active
25-64XXK-SHMO,Mold Remediation Contractor License (SH126),ELITE H. RENOVATION LLC,,161 SAW MILL RIVER RD,SUITE 208,YONKERS,NY,10701,3475357742,01/16/2025,01/31/2027,Active
26-69J86-SHMO,Mold Assessment Contractor License (SH125),"EN-TECH ASSOCIATES, INC.",,1111 W High Terrace,,Syracuse,NY,13219,3154691926,06/23/2026,06/30/2028,Active
26-6IE98-SHMO,Mold Remediation Contractor License (SH126),ENVIROBLISS CONSULTING INC.,ENVIROBLISS,1481 EAST 33RD STREET,,BROOKLYN,NY,11234,9177558387,01/21/2026,12/31/2027,Active
25-6IPBU-SHMO,Mold Assessment Contractor License (SH125),"ESIS, Inc.",,436 Walnut St,,PHILADELPHIA,PA,19106,2156404079,12/30/2025,12/31/2027,Active
26-66QQN-SHMO,Mold Assessment Contractor License (SH125),ET ENVIRO LLC,,34 Smith St,,Babylon,NY,11702,8443326832,03/27/2026,03/31/2028,Active
25-6U1HO-SHMO,Mold Assessment Contractor License (SH125),Earlybird Environmental LLC,,370 Stone Quarry Rd,,ITHACA,NY,14850,9179419978,07/17/2025,07/31/2027,Active
01783,Mold Assessment Contractor License (SH125),"East Centers of NY, LLC",,25 Queensland Dr,,SPENCERPORT,NY,14559,5854351881,09/30/2022,09/30/2024,Expired
26-673XL-SHMO,Mold Remediation Contractor License (SH126),East End Flood & Fire Restoration LLC,,3 Railroad Avenue,,East Hampton,NY,11937,6316202578,01/15/2026,01/31/2028,Active
25-64TFK-SHMO,Mold Remediation Contractor License (SH126),"Eastern Pro Contracting, LLC",,941 McLean Ave,Suite 104,Yonkers,NY,10704,9142689353,01/22/2025,12/31/2026,Active
24-6ATA4-SHMO,Mold Assessment Contractor License (SH125),Ebeno Studios Corp,,"3615 Palisade Ave, Apt 3F",,Union City,NJ,07087,7547039520,06/24/2024,06/30/2026,Expired
25-61vpb-shmo,Mold Remediation Contractor License (SH126),"Edelweiss Khust, Inc",,440 East 9th Street Suite 1f,,Brooklyn,NY,11218,9293538505,10/24/2025,10/31/2027,Active
01730,Mold Assessment Contractor License (SH125),Edwards Environmental Services LLC,,310 Myers Corners Rd,,WAPPINGERS FALLS,NY,12590,8454537393,05/19/2022,05/31/2024,Expired
24-6AOBP-SHMO,Mold Remediation Contractor License (SH126),Elezi LLC,,40 Wyckoff Street,Apt 1,Brooklyn,NY,11201,3473457860,06/17/2024,06/30/2026,Expired
23-6UCBZ-SHMO,Mold Assessment Contractor License (SH125),Elloheim Miller,Mold Buster Environmental,821 Kingsland Lane,,Fort Lee,NJ,07024,7187089324,08/09/2023,08/31/2025,Expired
24-6Z4UK-SHMO,Mold Remediation Contractor License (SH126),"Emergency Service Group 2, Inc.",,185 Summerfield Street,,Scarsdale,NY,10583,5614139754,04/16/2024,04/30/2026,Expired
23-6TQIA-SHMO,Mold Remediation Contractor License (SH126),Empire Abatement corp,,1558 51st Street,,BROOKLYN,NY,11219,9177456481,05/25/2023,08/31/2024,Expired
26-6ZPKK-SHMO,Mold Assessment Contractor License (SH125),Empire B & D Inc.,Empire Development,5889 Magnolia Stedman Rd,,Mayville,NY,14757,7167892097,01/29/2026,01/31/2028,Active
26-66HGV-SHMO,Mold Assessment Contractor License (SH125),Empire Inspectors LLC,,4 Taber Rd,,Shertman,CT,06784,9144338428,05/12/2026,05/31/2028,Active
25-6T89U-SHMO,Mold Assessment Contractor License (SH125),EnTech Engineering PC,,17 State St 36th Fl,,NEW YORK,NY,10004,6467220000,06/20/2025,06/30/2027,Active
25-6SDTH-SHMO,Mold Assessment Contractor License (SH125),"Energy & Environment, LLC",,"6443 Ridings Road, Suite 134",,Syracuse,NY,13206,3155692139,12/17/2025,12/31/2027,Active
25-6IJdc-shmo,Mold Remediation Contractor License (SH126),Enviral Restoration Fire and Water Corp.,,1507-13 Smithtown ave,,BOHEMIA,NY,11716,6315534224,12/08/2025,12/31/2027,Active
24-6A7QK-SHMO,Mold Assessment Contractor License (SH125),Enviro Solutions Inc.,,1781 Route 300,,Newburg,NY,12550,9735925706,08/06/2024,04/30/2026,Expired
26-6ZGCA-SHMO,Mold Assessment Contractor License (SH125),"Enviro-Test, Inc.",,77 Broadway,Suite A,Amityville,NY,11701,6317745296,03/04/2026,03/31/2028,Active
26-6AA3F-SHMO,Mold Remediation Contractor License (SH126),EnviroNYC Corp.,,74 Meade Loop,,Staten Island,NY,10309,3476995323,07/10/2026,07/31/2028,Active
01733,Mold Assessment Contractor License (SH125),Enviromax LLC,,119 Melville Ave,,Lakewood,NJ,08701,4435373593,06/01/2022,06/30/2024,Expired
25-6IKUS-SHMO,Mold Assessment Contractor License (SH125),"Environmental Assessments + Solutions, Inc.",,144 Euclid Ave,,ARDSLEY,NY,10502,9144781717,10/17/2025,10/31/2027,Active
26-6SXBX-SHMO,Mold Remediation Contractor License (SH126),"Environmental Construction Group, Inc.",,14109 West Avenue,,Albion,NY,14411,5856574223,01/21/2026,01/31/2028,Active
25-6UTJK-SHMO,Mold Assessment Contractor License (SH125),Environmental Investigators LLC,,266 W 123rd St #3C,,NEW YORK,NY,10027,6464884318,09/02/2025,09/30/2027,Active
26-6S7AN-SHMO,Mold Assessment Contractor License (SH125),"Environmental Management Solutions of New York, Inc.",,3 Forester Avenue,#49,Warwick,NY,10990,9147696333,02/04/2026,02/29/2028,Active
25-6UXG8-SHMO,Mold Assessment Contractor License (SH125),"Environmental Tactics, Inc.",,64 Broad Street,,Matawan,NJ,07747,7322902217,04/21/2025,04/30/2027,Active
25-6LQDQ-SHMO,Mold Remediation Contractor License (SH126),"Envirosafe Inspections and Solutions, LLC",,4617 Allens Hill Road,,Honeoye,NY,14471,5857044385,12/29/2025,12/31/2027,Active
26-67SU7-SHMO,Mold Remediation Contractor License (SH126),Envirotech Mold & Lead Corp,,216 congers road #205,,new city,NY,10956,3057858065,01/06/2026,01/31/2028,Active
25-6TOBT-SHMO,Mold Remediation Contractor License (SH126),"Ergul Construction, Inc.",,"1279 E 17th Street, Ste EE",,Brooklyn,NY,11230,7183771943,02/20/2025,02/28/2027,Active
25-65LJ9-SHMO,Mold Remediation Contractor License (SH126),"Erin Family Construction, Inc.",,3 fieldstone Drive #95,,HARTSDALE,NY,10530,9149633314,05/13/2025,05/31/2027,Active
25-6u8gu-shmo,Mold Assessment Contractor License (SH125),"Essential Home Inspections, LLC",,6711 Harmony Dr,,Fayetteville,NY,13066,3154215707,10/06/2025,10/31/2027,Active
25-678SP-SHMO,Mold Remediation Contractor License (SH126),Everserve Property Services Inc.,Rainbow International of Onondaga and Oswego Counties,133 Wakefield Ln,,Ava,NY,13303,3155646000,11/10/2025,11/30/2027,Active
25-6IPGJ-SHMO,Mold Assessment Contractor License (SH125),Exclusive Testing Labs Inc,,60 Brook St,,CROTON ON HUDSON,NY,10520,7182392347,12/10/2025,12/31/2027,Active
